transaction_id,date_time,transaction_type,amount_gbp,status,channel,sender_account_no,sender_name,sender_phone,sender_nationality,sender_passport_no,sender_customer_type,sender_kyc_risk,receiver_account_no,receiver_name,receiver_phone
TXN00036,2026-03-07 1:27:18,Mobile Wallet,3500.07,Completed,Mobile App,26948946,O'Neill PLC,7784907325,Romanian,VH3371002,Business,Medium,7205702499,Ian Hughes,7205702499
TXN00083,2026-03-07 3:03:39,Bank Transfer,14947.62,Completed,Branch,55298556,Higgins-Jones,7917364173,British,PR0481234,Business,High,60491958,Sharon Grant,7330997172
TXN00235,2026-03-07 3:53:02,Cash Deposit,1075.91,Completed,ATM,81016525,"Freeman, Holt and Wilkinson",7369953851,Nigerian,CB1674039,Business,Low,35566010,Megan Middleton,7990568217
TXN00403,2026-03-07 4:37:49,International Wire,682.52,Completed,ATM,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,74791834,Mr Alex Harris,7758896006
TXN00255,2026-03-07 5:05:29,Bank Transfer,8165.04,Completed,Mobile App,55298556,Higgins-Jones,7917364173,British,PR0481234,Business,High,84182331,Ms Louise Norman,7504982743
TXN00074,2026-03-07 6:56:18,Card Payment,631.97,Completed,Online Banking,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,99269266,Dr Beth Evans,7435569630
TXN00257,2026-03-07 7:15:36,International Wire,7163.59,Completed,ATM,43189803,Kevin Brady,7314061901,Afghan,CA5936767,Individual,Medium,40838737,Dr Dylan Smith,7145689604
TXN00252,2026-03-07 8:22:09,Bank Transfer,4218.86,Completed,Branch,79340535,Alan Davies,7305145276,Iranian,MI4322585,Individual,Medium,35760684,Beverley Sykes,7358738317
TXN00412,2026-03-07 8:49:20,Mobile Wallet,731.37,Completed,ATM,52339391,Vincent Bennett,7530747414,Pakistani,JZ6568720,Individual,Medium,7469143184,Raymond Hopkins,7469143184
TXN00408,2026-03-07 9:09:12,Mobile Wallet,612.14,Completed,Mobile App,71070189,Thomas Group,7406284028,British,WE4240392,Business,High,7283429671,Ben Smith,7283429671
TXN00047,2026-03-07 9:21:35,Mobile Wallet,1807.77,Completed,ATM,70505620,Gareth Robinson-Roberts,7361846370,Chinese,XU4853292,Individual,Low,7794002948,Trevor O'Connor,7794002948
TXN00058,2026-03-07 11:31:26,Card Payment,19997.56,Pending,Branch,43446826,Dr Stewart Turner,7230307805,Russian,,Individual,Low,64776386,Dr Melanie Murphy,7761051532
TXN00097,2026-03-07 15:55:53,Mobile Wallet,1214.23,Completed,Online Banking,32151928,"Watson, Murray and Holt",7601856351,Afghan,TU8424367,Business,Medium,7311818984,Mr Bernard Reynolds,7311818984
TXN00402,2026-03-07 18:10:08,Cash Deposit,157.66,Completed,Mobile App,95125977,James and Sons,7383450553,Romanian,CW2871223,Business,Low,60393104,Mrs Kathryn Frost,7282649071
TXN00274,2026-03-07 20:47:14,Card Payment,1127.14,Completed,ATM,22448136,Dr Brett Jones,7507943839,Afghan,PV0863193,Individual,Medium,63108878,Ms Emily Cox,7107266407
TXN00495,2026-03-07 21:42:42,Cash Deposit,6069.34,Completed,Mobile App,93370583,Molly Law,7704509817,British,,Individual,Medium,94992096,Jodie Cunningham,7149929379
TXN00398,2026-03-07 22:01:29,Cash Deposit,5777.29,Completed,ATM,53507489,Jason Bell,7624636385,British,HQ6175750,Individual,Medium,61799600,Bethany Walton-Page,7151697938
TXN00365,2026-03-07 23:07:05,International Wire,319.27,Completed,ATM,70505620,Gareth Robinson-Roberts,7361846370,Chinese,XU4853292,Individual,Low,70339827,Jodie Wilson-Freeman,7276496293
TXN00194,2026-03-07 23:24:49,Mobile Wallet,1235.2,Completed,Mobile App,83793389,Read-Pugh,7277303722,Romanian,GO0789516,Business,Low,7730104453,Glen Fraser,7730104453
TXN00127,2026-03-08 1:18:51,Bank Transfer,1675.01,Completed,Online Banking,66851377,Mathew Davies,7990505735,British,,Individual,Low,90092958,Philip Dodd,7636687537
TXN00096,2026-03-08 5:00:22,International Wire,1065.9,Completed,Online Banking,74988034,Antony Sykes,7396889215,Polish,LH2737961,Individual,Low,56892354,Ms Irene Mitchell,7308202515
TXN00291,2026-03-08 6:14:22,Bank Transfer,549.44,Completed,Online Banking,50477742,Jay Graham-Rose,7834717549,Pakistani,,Individual,High,96969050,Donna Jones,7468377143
TXN00409,2026-03-08 6:43:59,Card Payment,623.62,Completed,Branch,57212267,Craig Payne,7420632895,Russian,FK9568730,Individual,Low,73209094,Miss Susan Watson,7526777316
TXN00464,2026-03-08 7:03:37,Bank Transfer,839.38,Completed,ATM,82374753,Miss Rosie Bird,7242068763,Pakistani,AS0003524,Individual,Low,26588648,Norman Quinn,7508294370
TXN00343,2026-03-08 7:17:22,Card Payment,912.21,Completed,Online Banking,66851377,Mathew Davies,7990505735,British,,Individual,Low,17385816,Dr Marilyn Russell,7753728820
TXN00310,2026-03-08 8:55:12,Card Payment,1553.51,Completed,Branch,83793389,Read-Pugh,7277303722,Romanian,GO0789516,Business,Low,38169370,Janet Taylor,7354418892
TXN00023,2026-03-08 9:00:48,Card Payment,1298.94,Pending,Branch,59555330,Dennis Jones-Hall,7725464884,Nigerian,GT5400895,Individual,Low,76890827,Dr Jake Bradley,7265325235
TXN00346,2026-03-08 9:42:05,Cash Deposit,1545.15,Completed,Branch,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,54964418,Jeffrey Martin,7131521039
TXN00221,2026-03-08 10:22:23,Cash Deposit,1468.87,Completed,Online Banking,22448136,Dr Brett Jones,7507943839,Afghan,PV0863193,Individual,Medium,62755436,Grace Dickinson,7676876906
TXN00367,2026-03-08 11:51:53,Cash Deposit,768.85,Completed,Mobile App,52339391,Vincent Bennett,7530747414,Pakistani,JZ6568720,Individual,Medium,50831043,Chelsea Harris,7967150570
TXN00494,2026-03-08 12:50:04,Mobile Wallet,1861.13,Completed,Online Banking,43446826,Dr Stewart Turner,7230307805,Russian,,Individual,Low,7521869399,Alison Giles,7521869399
TXN00061,2026-03-08 14:28:54,Mobile Wallet,1898.53,Completed,Online Banking,88320463,Mrs Rosie Rogers,7528853029,Polish,MX6117574,Individual,Low,7984968439,Eric McCarthy,7984968439
TXN00321,2026-03-08 16:54:08,Bank Transfer,1859.57,Completed,ATM,31130263,"Kennedy, Griffiths and Davies",7161073976,Turkish,HZ5570558,Business,Low,69228397,Dorothy Wright-Naylor,7269633510
TXN00137,2026-03-08 17:10:46,Cash Deposit,1600.69,Completed,ATM,64543049,Paul Collins-King,7766430218,British,XU8822178,Individual,Low,63690013,Owen James,7569172971
TXN00110,2026-03-08 21:02:45,Cash Deposit,1343.53,Completed,ATM,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,80651318,Geraldine Jones,7990087914
TXN00447,2026-03-08 21:13:16,Card Payment,14844.29,Completed,Online Banking,71070189,Thomas Group,7406284028,British,WE4240392,Business,High,85031958,Paul Robinson,7878663220
TXN00322,2026-03-09 1:50:43,Mobile Wallet,7063.07,Completed,Branch,27566185,Lauren Henderson,7821221887,Pakistani,BC6532632,Individual,Medium,7424125621,Lewis Ali,7424125621
TXN00437,2026-03-09 2:18:45,Card Payment,5196.6,Completed,Branch,43308443,"Williams, Hodgson and Grant",7386480450,Pakistani,ZV8073988,Business,Medium,11135982,Dr Bethany Evans,7745471251
TXN00460,2026-03-09 4:01:53,Card Payment,692.04,Completed,Online Banking,36445607,Megan Smith,7491079829,Polish,ZD8104586,Individual,Low,58217837,Douglas Wade,7626325353
TXN00219,2026-03-09 5:56:29,Mobile Wallet,1534,Completed,ATM,44788100,"Forster, Turner and Fry",7907214179,Polish,XP7585874,Business,Low,7883068639,Eileen Miller,7883068639
TXN00089,2026-03-09 8:02:44,Mobile Wallet,6125.08,Completed,Mobile App,26948946,O'Neill PLC,7784907325,Romanian,VH3371002,Business,Medium,7410791488,Linda Palmer,7410791488
TXN00378,2026-03-09 8:02:49,Card Payment,844.28,Completed,Mobile App,43446826,Dr Stewart Turner,7230307805,Russian,,Individual,Low,80573568,Jake Clayton,7790042893
TXN00196,2026-03-09 8:18:58,Bank Transfer,20.31,Completed,ATM,43273328,Barry Group,7341266931,Afghan,YT6736384,Business,Low,31198492,Dr Mark Ward,7690936560
TXN00186,2026-03-09 9:01:59,Bank Transfer,1042.18,Failed,ATM,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,53627409,Sean Thorpe,7702247585
TXN00281,2026-03-09 10:18:39,Card Payment,1270.34,Completed,ATM,59529086,Lawrence Williamson,7608159580,Turkish,GM7402426,Individual,Low,43914361,Tony Russell,7359868249
TXN00371,2026-03-09 11:01:34,Bank Transfer,251.69,Completed,ATM,44788100,"Forster, Turner and Fry",7907214179,Polish,XP7585874,Business,Low,39835008,Ms Joanne Burgess,7166216779
TXN00443,2026-03-09 11:11:06,Cash Deposit,1445.35,Failed,Branch,36445607,Megan Smith,7491079829,Polish,ZD8104586,Individual,Low,76756250,Eric Stevens,7803731001
TXN00493,2026-03-09 11:47:26,Card Payment,1645.46,Completed,Online Banking,74988034,Antony Sykes,7396889215,Polish,LH2737961,Individual,Low,64923338,Frederick Anderson,7897264993
TXN00168,2026-03-09 12:17:23,Mobile Wallet,202.66,Pending,ATM,66851377,Mathew Davies,7990505735,British,,Individual,Low,7411612760,Ian Johnson-Cook,7411612760
TXN00289,2026-03-09 13:13:08,Bank Transfer,2819.21,Completed,ATM,85329037,Mr Denis Macdonald,7313500298,Chinese,DC7550026,Individual,Medium,71113711,Mark Morgan,7468365044
TXN00192,2026-03-09 18:48:45,Cash Deposit,2359.1,Completed,ATM,93370583,Molly Law,7704509817,British,,Individual,Medium,20607151,Ms Georgina Dickinson,7408840720
TXN00442,2026-03-09 22:50:09,Mobile Wallet,4162.48,Pending,ATM,15134794,McCarthy Group,7216396351,Chinese,NR8308259,Business,Medium,7358022386,Lawrence Holden-Fox,7358022386
TXN00451,2026-03-09 23:49:30,Bank Transfer,1142.05,Completed,ATM,99853245,Lynn Perry,7222824732,Pakistani,,Individual,Medium,55992373,Carolyn Stewart,7315066828
TXN00001,2026-03-10 0:55:49,Bank Transfer,306.9,Completed,Online Banking,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,50780112,Holly Davies,7704344408
TXN00244,2026-03-10 1:43:39,Cash Deposit,1609.72,Completed,Online Banking,22448136,Dr Brett Jones,7507943839,Afghan,PV0863193,Individual,Medium,60981231,Marilyn Gray,7346980616
TXN00266,2026-03-10 3:54:04,Card Payment,1481.91,Completed,Mobile App,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,58412365,Fiona Smith,7440030663
TXN00085,2026-03-10 5:25:09,Bank Transfer,323.25,Completed,Branch,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,16679008,Mrs Charlotte Ferguson,7763398699
TXN00484,2026-03-10 6:59:21,Bank Transfer,1016.08,Pending,Mobile App,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,76549837,Laura Clements-Walker,7603895158
TXN00165,2026-03-10 8:19:57,Bank Transfer,3544.86,Completed,Online Banking,52339391,Vincent Bennett,7530747414,Pakistani,JZ6568720,Individual,Medium,72336371,Dale McDonald-Pratt,7619960692
TXN00169,2026-03-10 10:13:08,Mobile Wallet,6517.15,Completed,Online Banking,27566185,Lauren Henderson,7821221887,Pakistani,BC6532632,Individual,Medium,7720286733,Kirsty Smith,7720286733
TXN00120,2026-03-10 10:55:58,Bank Transfer,552.85,Completed,Mobile App,64543049,Paul Collins-King,7766430218,British,XU8822178,Individual,Low,29776801,Dr Denis Wilson,7651208305
TXN00158,2026-03-10 15:59:41,Cash Deposit,332.31,Completed,Branch,59555330,Dennis Jones-Hall,7725464884,Nigerian,GT5400895,Individual,Low,40262109,Dr Russell Smith,7861639583
TXN00037,2026-03-10 17:59:04,Card Payment,5567.31,Completed,Mobile App,32775593,"Dodd, Hughes and Phillips",7807435606,Romanian,VH2763465,Business,Medium,16172803,Catherine Morley,7131081879
TXN00477,2026-03-10 18:28:00,Card Payment,234.98,Failed,Online Banking,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,17871385,Ruth Campbell,7847506709
TXN00302,2026-03-10 18:34:04,International Wire,984.39,Completed,ATM,16789850,Mrs Olivia Barnett,7800235246,British,EL4229485,Individual,Low,35111946,Patricia Walker,7250642261
TXN00305,2026-03-10 19:01:11,Card Payment,174.51,Completed,Branch,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,39598969,Charlotte Hall,7133136428
TXN00105,2026-03-11 1:12:04,International Wire,87.89,Failed,Online Banking,43273328,Barry Group,7341266931,Afghan,YT6736384,Business,Low,68754920,Anthony Ahmed,7859803019
TXN00498,2026-03-11 2:28:22,International Wire,1463.68,Completed,Branch,99245317,Allen PLC,7507104143,Polish,RD9563651,Business,Low,23898777,Jane Banks,7237848895
